,text
6084,Stay strong #HurricaneFlorence2018
6085,"RT @SheriffSF: Capt. Kevin McConnell deploys today to N. Carolina as Officer in Charge of @SheriffSF &amp; @SF_emergency EMAC Team, providing aid to those impacted by #HurricaneFlorence2018. Thank you for your service Mac &amp; Godspeed. https://t.co/ZVbganYzKE"
6086,"RT @InfidelT_I_M: How can anyone continue to question #POTUS45 claims of #fakenews ? @CNN is a joke

#FakeNewsEverywhere #HurricaneFlorence2018 #NorthCarolina #MAGA https://t.co/kAtujhw81m"
6087,"According to citizen rain gauges in the #ColoradoState-led #CoCoRaHS network, both Carolinas broke records for storm rainfall totals as a result of #HurricaneFlorence2018. Unofficial records are 35.93 inches for N. Carolina, &amp; 23.63 inches for S. Carolina. https://t.co/gq3u94zpxe https://t.co/xZzSKqdQkV"
6088,Only upside of having to bring my kids to work because power is out at their school....paper clip love necklaces. #HurricaneFlorence2018 #WomenInMedicine #WIC https://t.co/gNcD5O9mY3
6089,RT @martin_presnell: Gettin bad out here folks #HurricaneFlorence2018 https://t.co/mzGqcKyDfy
6090,"RT @InfidelT_I_M: How can anyone continue to question #POTUS45 claims of #fakenews ? @CNN is a joke

#FakeNewsEverywhere #HurricaneFlorence2018 #NorthCarolina #MAGA https://t.co/kAtujhw81m"
6091,"RT @InfidelT_I_M: How can anyone continue to question #POTUS45 claims of #fakenews ? @CNN is a joke

#FakeNewsEverywhere #HurricaneFlorence2018 #NorthCarolina #MAGA https://t.co/kAtujhw81m"
6092,RT @XConnollyJr: #HurricaneFlorence2018 1st group of #D149 Home Depot Relief Volunteers leaving Richmond this morning to help support recovery efforts in Wilmington. God Bless and Godspeed! #ServicebeforeSelf https://t.co/dvdOZH22u8
6093,"On ""Issues &amp; Answers"" @ 6PM CST, we're talking #PaulManafort #Serena #BothamJean #HurricaneFlorence2018 #PuertoRicoDeathToll #JasonVanDyke and much more @PostTrib @nwi @gary411news @greatergary https://t.co/9pYFiD246g #radio #GaryIndiana #Chicago"
6094,"RT @WeSupport45: Anderson Cooper of CNN in a ditch pretending to be in waist deep water
#CnnIsSoFake
They can’t help themselves.
Help us expose @AndersonCooper &amp; @CNN as #FakeNews with a #RETWEET
Shameful #HurricaneFlorence2018 propaganda to attack @realDonaldTrump 
Join https://t.co/ZbnntViW4T https://t.co/2JPOAxv6s8"
6095,"My #HurricaneFlorence2018 #HurricaneFlorenceNC DIY project after 5 days of hurricane I create  when anxious ,  a small project can bring such joy I hate feeling trapped as a result of childhood trauma  I made the best of it we have power now  #survivorcommunity #SurvivorCulture https://t.co/3vEJJjRqFA"
6096,"RT @redcrossny: This morning we deployed nearly 15 members of @DARTFDNY, our @FDNY volunteer team, who will travel to North Carolina to provide their service and expertise for the next 2 weeks. #HurricaneFlorence2018 https://t.co/I7dHjHdMll"
6097,"RT @_andrewcarter: Seeing these poor dogs, cold and wet, scared, some shaking, is a sight powerful enough to bring you to tears. Some of them seem thrilled at the sight of people. These two, especially. #HurricaneFlorence2018. https://t.co/lubUbNorZD"
6098,RT @dezsieee: when 2 people walk in the background of your shot &amp; expose your terrible acting 🤦🏽‍♀️😂 #HurricaneFlorence2018 https://t.co/eAgPORiiiL
6099,"""Hero Reporter Interrupts Live Broadcast To Save Dog From Floods"" → https://t.co/0ct5aFdwk6 💜🐾 #HurricaneFlorence #HurricaneFlorence2018 #MondayMotivation #EmbraceYourPets https://t.co/I0u6lNB4ez"
6100,Did Weather Channel Reporter fake it? *Full High Quality* https://t.co/kvHLYXC8zn #HurricaneFlorence2018 https://t.co/vcT5LN2Idu
6101,"RT @_andrewcarter: Many of you have seen the photo. Now here’s the story of a man and the kitten who clung to him, awaiting rescue from the floodwaters of Hurricane Florence in New Bern. #HurricaneFlorence2018 https://t.co/X8SqSvsyOm"
6102,"RT @NationalGuard: .@NCARNG Soldiers are out in full force to assist citizens caught in flood waters. Always ready, always there. #HurricaneFlorence2018 #weareguard https://t.co/3J9UteBNYB"
6103,"RT @_andrewcarter: A woman (pictured) tells me that she and her people have brought out about a dozen dogs, with more to come on boats. There were about 18 stuck inside of a house, by themselves. They were heard barking and whimpering. #HurricaneFlorence2018 https://t.co/3L5gg1XtcI"
6104,"Listen to Episode 19 ""Hurricane Florence &amp; The Flu Game"" by K!ck!n$#!TPod #np on #SoundCloud #InsecureHBO⁠ ⁠ #EmmyAwards #PrimeTime #TiffanyHaddish #kattwilliams #HurricaneFlorence2018 #kickinshit #kulture #CardiB #QueenRadio #podcast  https://t.co/7ta8Wg4uFO"
6105,"RT @IN_Task_Force_1: This fella almost required his own boat last evening. He was happy to be high and dry courtesy of Indiana Task Force 1, New Hanover Fire and the North Carolina National Guard. 👍🐕 #HurricaneFlorence2018 #FEMA @nhcpffa @NewHanoverCo https://t.co/pPXwkFgrOB"
6106,"RT @_andrewcarter: This little guy was trapped under the stairs in a house, I’m told, in standing water. He’s been shivering but seems to be doing better now that he has a towel. #HurricaneFlorence2018 https://t.co/vzndu3XA1M"
6107,"RT @_andrewcarter: Incredible scene here now outside of Kinston, where several people are rescuing dogs from a flooded kennel. Really powerful, emotional scene. #HurricaneFlorence2018 https://t.co/sWlytrNsmQ"
6108,"RT @InfidelT_I_M: How can anyone continue to question #POTUS45 claims of #fakenews ? @CNN is a joke

#FakeNewsEverywhere #HurricaneFlorence2018 #NorthCarolina #MAGA https://t.co/kAtujhw81m"
6109,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6110,#HurricaneFlorence2018 said forget Virginia I’ll send my brothers over that way https://t.co/8DIqHmI8do
6111,"Listen to Episode 19 ""Hurricane Florence &amp; The Flu Game"" by K!ck!n$#!TPod #np on #SoundCloud #InsecureHBO⁠ ⁠ #EmmyAwards #PrimeTime #TiffanyHaddish #kattwilliams #HurricaneFlorence2018 #kickinshit #kulture #CardiB #QueenRadio #podcast  https://t.co/Q63mbnMH4q"
6112,RT @DavisABC11: Need water? No problem. @HarrisTeeter in Fayetteville is giving away free water and ice to the public. All you’ve got to do is drive up and staffers here will load your car. #ABC11 #HurricaneFlorence2018 https://t.co/sLacbQaUPb
6113,RT @hone_energy: 17th Sept:  58 Celsius #heat #engine #temperature on the tail of #HurricaneFlorence2018 approaching #free #heating &amp; #hot #water - #worlds most powerful #renewable heating #free not powered by #electricity like a #HeatPump - #energy #efficiency - #HONE is No 1. ⛅️🌧☁️☘️ https://t.co/NlqUI2Loet
6114,@hqtrivia Donate it to #HurricaneFlorence2018 relief #HQ100k - dspitzer1
6115,"RT @newsobserver: #Florence leaves tornadoes, flooding, road closures, deaths across North Carolina.

https://t.co/uQaARzcnjx

#HurricaneFlorence2018 https://t.co/t8yBE3Ula5"
6116,"We got your Durham schools update here:

https://t.co/SN9XktqjKH

#Florence #HurricaneFlorence2018 
@DurhamPublicSch"
6117,You can help families and communities recover from #HurricaneFlorence2018 by donating to the @Walmart 2018 #Hurricane Relief Fund at the Foundation For The Carolinas. Visit: https://t.co/49GcSTk4HW https://t.co/wasVQYY0Ml
6118,"RT @schachin: Is your home flooding?
Stay safe. Follow these steps.

Do NOT go into the attic w/o roof access.
If you must exit the home, go to the ROOF w water/supplies.
Put a bright color cloth on the highest point, so rescuers see you.

#SOS #NeedRescue #HurricaneFlorence2018 #Florence https://t.co/qQzlKk7lAs"
6119,RT @_raybabyyy: ANYONE around here with horse trailers? #nc #HurricaneFlorence2018 https://t.co/KnLIZPSWB8
6120,"A very generous donation of $500 was just posted.  

THANK YOU!  

Please, keep those donations coming!!! We've got the resources, but we need your finical support to get them there. 

https://t.co/cMREjwRq0w

#HurricaneFlorenceRelief  #HurricaneFlorence2018 https://t.co/ORUTjXWFBm"
6121,"@enavigatingsolo Okay, have fun! I hope my tv comes back on, if not will have to watch from my device and live tweet. #HurricaneFlorence2018"
6122,"RT @newsobserver: We got your Durham schools update here:

https://t.co/OpmJGB85GA

#Florence #HurricaneFlorence2018 
@DurhamPublicSch"
6123,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6124,"We got your Durham schools update here:

https://t.co/OpmJGB85GA

#Florence #HurricaneFlorence2018 
@DurhamPublicSch"
6125,RT @RufusHenderson8: #HurricaneFlorence2018 #PuertoRicoDeathToll #ThursdayMotivation #stormflorence  Praying for the people who lost love ones during the Storms. Lord give people traveling grace beyond the Storms path. https://t.co/vSYrh7GO23
6126,RT @RufusHenderson8: #Florence hurricane #HurricaneFlorence2018 @ABC @BarackObama keeping all our cities on the water fronts in prayer. #poetry https://t.co/AnnynuNu6P
6127,"More flooding video taken by Chief French of @PascoFireRescue who also is on the @FLSERT #AHIMT from the helicopter on the way to Brunswick, NC @coreydierdorff @Pasco_FL_OEM @PascoCountyPIO #PascoProud #HurricaneFlorence2018 #Florence https://t.co/9MaONnKUBC"
6128,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6129,"RT @YJ2020: Listen to Episode 19 ""Hurricane Florence &amp; The Flu Game"" by K!ck!n$#!TPod #np on #SoundCloud #InsecureHBO #EmmyAwards #PrimeTime #TiffanyHaddish #kattwilliams #HurricaneFlorence2018 #kickinshit #kulture #CardiB #QueenRadio #podcast  https://t.co/QccQSsPZcX"
6130,"Taken Monday, 17 September 2018.  #HurricaneFlorence2018 https://t.co/vD6qYbR42R"
6131,"RT @MsEmmaPeele: ⚠️🐾🐱🐈🐶🐕💜 #HurricaneFlorence2018 
List or organizations &amp; individuals helping to foster, adopt and raise donation/supplies for displaced animals:
https://t.co/7YQVR7tSgB
@lostdogrescue https://t.co/OVvJXcwTs8 
@SavingGraceNC 
@PenderCounty_NC 

https://t.co/4iL7IoG2RK"
6132,RT @chingoned: Humans making me smile!  #HurricaneFlorence2018 https://t.co/7cLM2brSG1
6133,"https://t.co/VxYfrXNlpu

Donate if able and share! Your money will go directly into helping NC families affected by flooding. #HurricaneFlorence2018 #HurricaneFlorenceNC #Florence #FlorenceNC #FayettevilleNC"
6134,My parents house is destroyed. #HurricaneFlorence2018 today was a bad day. Devastated.
6135,@Compass_82 heading to Carolina to help #HurricaneFlorence2018 recovery https://t.co/HKf3OedULk
6136,"https://t.co/VxNiqKFQci 

Who knows what could've happened to this pup if it weren't for the help of these great humans!

#HurricaneFlorence2018"
6137,"RT @_andrewcarter: She tells me that Robert is OK, and now staying with an aunt. Also that she’s heard his father is OK, too (they don’t live together). Working on a follow-up. #HurricaneFlorence2018"
6138,"Listen to Episode 19 ""Hurricane Florence &amp; The Flu Game"" by K!ck!n$#!TPod #np on #SoundCloud #InsecureHBO #EmmyAwards #PrimeTime #TiffanyHaddish #kattwilliams #HurricaneFlorence2018 #kickinshit #kulture #CardiB #QueenRadio #podcast  https://t.co/QccQSsPZcX"
6139,RT @_andrewcarter: That feeling when the local you’re with drives you into a flooded ditch and you have to abort mission. #HurricaneFlorence2018 https://t.co/eeH3TZ0MAG
6140,@tayari Hoping our wonderful libraries here in #WilmingtonNC didn’t suffer too much damage from #HurricaneFlorence2018. #ilovelibraries @NHCLibrary
6141,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6142,"#Florence lands in #Carolinas, killing 23 people. https://t.co/8cScoevBkZ #HurricaneFlorence2018 https://t.co/VekcESImQs"
6143,#HurricaneFlorence2018 #PuertoRico #PuertoRicoDeathToll #donaldtrump #MAGA2020 #MAGARallyRules https://t.co/HJIQ3197GN
6144,"RT @NationalGuard: .@NCARNG Soldiers are out in full force to assist citizens caught in flood waters. Always ready, always there. #HurricaneFlorence2018 #weareguard https://t.co/3J9UteBNYB"
6145,RT @RustyMyers1981: How does the police officer keep his job?? @CLTMayor @theobserver #MondayMorning #HurricaneFlorence2018 #HurricanceFlorence #PoliceBrutality #BLM #at https://t.co/0WCRqVerJO
6146,RT @DavisABC11: Need water? No problem. @HarrisTeeter in Fayetteville is giving away free water and ice to the public. All you’ve got to do is drive up and staffers here will load your car. #ABC11 #HurricaneFlorence2018 https://t.co/sLacbQaUPb
6147,Aw... these poor puppies.  #HurricaneFlorence2018 https://t.co/p5Jx8GgEs2
6148,#NCStrong #HurricaneFlorence2018 https://t.co/dzczePVmrk
6149,RT @jftaveira1993: One person has been killed in a building collapse in Chesterfield County caused by tornadoes whipped up by the remnants of #Florence Monday afternoon. https://t.co/SEJPVehalx #HurricaneFlorence2018
6150,What a good soul. Owner should be ashamed. Thank God they were saved. #HurricaneFlorence2018 https://t.co/um1BbuX6uy
6151,RT @DavisABC11: Need water? No problem. @HarrisTeeter in Fayetteville is giving away free water and ice to the public. All you’ve got to do is drive up and staffers here will load your car. #ABC11 #HurricaneFlorence2018 https://t.co/sLacbQaUPb
6152,RT @LarryMillerTV: Thanks for the help today mom @CherylKoderisch. You did a great job! #HurricaneFlorence2018 #GetUpDC @wusa9 https://t.co/6yeU9JU2qS
6153,"For the people of North Carolina.
#HurricaneFlorence2018 https://t.co/pXsz4PrLUD"
6154,One person has been killed in a building collapse in Chesterfield County caused by tornadoes whipped up by the remnants of #Florence Monday afternoon. https://t.co/SEJPVehalx #HurricaneFlorence2018
6155,RT @DavisABC11: Need water? No problem. @HarrisTeeter in Fayetteville is giving away free water and ice to the public. All you’ve got to do is drive up and staffers here will load your car. #ABC11 #HurricaneFlorence2018 https://t.co/sLacbQaUPb
6156,"RT @EmmaJ_Roe: Pig muck on the move in flooded North Carolina rivers/lagoons. All too often the environmental damage of intensive livestock production is unseen, not here. #manfood  #HurricaneFlorence2018 https://t.co/RARqpMz59s"
6157,"A one-year-old boy has become the 18th victim of Hurricane Florence after slipping from his mother's grasp in North Carolina.
After his mother drove into  floodwaters and lost his grip while trying to get him back to dry land.#HurricaneFlorence #HurricaneFlorence2018 https://t.co/FkAjGg8iEB"
6158,RT @jongsmjo: We're going to get between 1 and 1.5 inches of rain as the remnants for #HurricaneFlorence2018 https://t.co/UuXsM0vDty via @northjersey
6159,More Fake News. It’s funny how the news media outlets use tragedy to up ratings at others people’s expense. This footage is from 2008 shown during #HurricaneFlorence2018  Come on @AC360 get a grip #FakeNews #fakemedia #tragedy #news #NewBern #HurricaneFlorence https://t.co/tVNZLgADXg
6160,RT @hone_energy: 17th Sept:  58 Celsius #heat #engine #temperature on the tail of #HurricaneFlorence2018 approaching #free #heating &amp; #hot #water - #worlds most powerful #renewable heating #free not powered by #electricity like a #HeatPump - #energy #efficiency - #HONE is No 1. ⛅️🌧☁️☘️ https://t.co/NlqUI2Loet
6161,"RT @newsobserver: #Florence leaves tornadoes, flooding, road closures, deaths across North Carolina.

https://t.co/uQaARzcnjx

#HurricaneFlorence2018 https://t.co/t8yBE3Ula5"
6162,RT @hone_energy: 17th Sept:  58 Celsius #heat #engine #temperature on the tail of #HurricaneFlorence2018 approaching #free #heating &amp; #hot #water - #worlds most powerful #renewable heating #free not powered by #electricity like a #HeatPump - #energy #efficiency - #HONE is No 1. ⛅️🌧☁️☘️ https://t.co/NlqUI2Loet
6163,ANYONE around here with horse trailers? #nc #HurricaneFlorence2018 https://t.co/KnLIZPSWB8
6164,"RT @rtehrani: People in the Carolinas are about to rediscover the difference between the storm damage and what is covered by #insurance.

While wind damage is well covered by insurers, flood damage is absent from most policies. https://t.co/l57Fdffu9a

#HurricaneFlorence #HurricaneFlorence2018 https://t.co/Xw3ulX7XSj"
6165,#HurricaneFlorence2018 #hurricaneassistance https://t.co/HLWzZYstCw
6166,On stand bye for DEMPS FEMA deployment....here I come Carolinas #HurricaneFlorence2018 😎👀👀
6167,"RT @almuariza: ¿Primer mundo? Falta total de previsión. Cuarto día sin gasolina ni dónde comprar alimentos. 
La gente está desesperada. Hacemos cola desde hace horas pero nadie nos garantiza que podamos llenar el depósito hoy. 
#HurricaneFlorence2018 
#Jacksonville https://t.co/37Pg2XyVHZ"
6168,Sue Marticek and @Compass_82 on @News12NJ advocating for those in disaster recovery. #proudsis #HurricaneFlorence2018 https://t.co/5rJhOTCAqL
6169,RT @XConnollyJr: #HurricaneFlorence2018 1st group of #D149 Home Depot Relief Volunteers leaving Richmond this morning to help support recovery efforts in Wilmington. God Bless and Godspeed! #ServicebeforeSelf https://t.co/dvdOZH22u8
6170,"RT @almuariza: ¿Primer mundo? Falta total de previsión. Cuarto día sin gasolina ni dónde comprar alimentos. 
La gente está desesperada. Hacemos cola desde hace horas pero nadie nos garantiza que podamos llenar el depósito hoy. 
#HurricaneFlorence2018 
#Jacksonville https://t.co/37Pg2XyVHZ"
6171,"RT @allanimalrights: Hero volunteer rescues six dogs abandoned in a LOCKED cage on the verge of drowning in Hurricane Florence's rising flood waters

 https://t.co/aNSxwB85JJ

#HurricaneFlorence2018 #HurricanceFlorence #Dogs #Rescue"
6172,17th Sept:  58 Celsius #heat #engine #temperature on the tail of #HurricaneFlorence2018 approaching #free #heating &amp; #hot #water - #worlds most powerful #renewable heating #free not powered by #electricity like a #HeatPump - #energy #efficiency - #HONE is No 1. ⛅️🌧☁️☘️ https://t.co/NlqUI2Loet
6173,"Getting on our ride earlier today to heading to Brunswick, NC to help with #HurricaneFlorence2018 #PascoProud @coreydierdorff @Pasco_FL_OEM @PascoCountyPIO @PascoFireRescue @FLSERT https://t.co/pCMQBoXPsx"
6174,RT @DavisABC11: Need water? No problem. @HarrisTeeter in Fayetteville is giving away free water and ice to the public. All you’ve got to do is drive up and staffers here will load your car. #ABC11 #HurricaneFlorence2018 https://t.co/sLacbQaUPb
6175,"RT @allanimalrights: Hero volunteer rescues six dogs abandoned in a LOCKED cage on the verge of drowning in Hurricane Florence's rising flood waters

 https://t.co/aNSxwB85JJ

#HurricaneFlorence2018 #HurricanceFlorence #Dogs #Rescue"
6176,"#Florence leaves tornadoes, flooding, road closures, deaths across North Carolina.

https://t.co/uQaARzcnjx

#HurricaneFlorence2018 https://t.co/t8yBE3Ula5"
6177,"⚡️ “Tropical depression #Florence continues to bring heavy rains and flooding”
#News #ICYMI #TropicalStormFlorence #HurricaneFlorence2018 #Weather 
#NorthCarolina #SouthCarolina #CarolinaStrong https://t.co/StM2OJSkcH"
6178,"One of the side effects of landfalling tropical #weather systems - toxic floodwaters. #HurricaneFlorence2018 was no exception:
https://t.co/oTrEwMoH1a"
6179,"RT @dulaneycd: Shout out to my boy @joey_cranney, who is stuck in Wilmington, NC, after covering #HurricaneFlorence2018. Out there putting himself in danger to bring you the news. Also, he knows a thing or two about cars. @postandcourier https://t.co/E6YwBeIHOI"
6180,"RT @rtehrani: People in the Carolinas are about to rediscover the difference between the storm damage and what is covered by #insurance.

While wind damage is well covered by insurers, flood damage is absent from most policies. https://t.co/l57Fdffu9a

#HurricaneFlorence #HurricaneFlorence2018 https://t.co/Xw3ulX7XSj"
6181,"RT @PMbeers: One thing most people don't consider when hungry people loot food after a #hurricane is that that food CAN'T BE SOLD because of concerns about mold. The STUFF is covered by insurance &amp; hungry people NEED TO EAT.  

#HurricaneFlorence #HurricaneFlorence2018 #FlorenceNC #Florence"
6182,"Be safe, everyone. And remember, in some cases, data can be recovered from damaged electronic devices. Some insurance policies may cover this. #HurricaneFlorence2018 https://t.co/FQymTgDeav"
6183,ZERO TO THREE parenting experts offer tips for parents of babies and young children sheltering from Hurricane Florence. #30Seconds @zerotothree #HurricaneFlorence #HurricaneFlorence2018 #hurricane #parenting #babies #toddlers https://t.co/jlMiLqCBDU
6184,RT @andrehepkins: If you want to donate to the ⁦@wbaltv11⁩ &amp; ⁦@RedCross⁩ #HurricaneFlorence2018 #disasterrelief efforts call 410-261-2300 where #volunteers will take your #donations https://t.co/sH2aGI79vt
6185,If you want to donate to the ⁦@wbaltv11⁩ &amp; ⁦@RedCross⁩ #HurricaneFlorence2018 #disasterrelief efforts call 410-261-2300 where #volunteers will take your #donations https://t.co/sH2aGI79vt
6186,"RT @newsobserver: Wind. Floods. Gunshots.

Journalists face danger and challenges in covering #Florence.

https://t.co/5wAB0X0Dbi

#HurricaneFlorence2018 #FlorenceNC https://t.co/X2nJTTQcOH"
6187,"As we here in #northcarolina begin to rebuild after #HurricaneFlorence2018 it is important to consider what #success and #recovery mean.

https://t.co/3miUidOzCA"
6188,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6189,RT @keithkendall: East Boiling Springs Rd. The road is washed out on all ends and my area is cut off. #WECT #WRAL #wway #HurricanceFlorence #HurricaneFlorence2018 https://t.co/FYAroJQVUU
6190,On-air with #thenewsroom ⁦@bbcworldservice⁩ shortly - #Syria #NorthKorea #Kavanaugh and #HurricaneFlorence2018 https://t.co/dJ8RLGoE8J
6191,RT @zdaniel: So while I’ve been covering #HurricaneFlorence2018 my brother Troy has clocked 220km winds at his house in Hong Kong #TyphoonManghkut #family #storms #ohbrother https://t.co/OidFB9piGf
6192,Fall Golf in the Carolinas Despite Hurricane Florence.  Rivers Edge Golf Fast Re-Open https://t.co/WmVAmgwf47  #RiversEdgeGolf #ShallotteNC #CarolinaGolf #EastCoastGolfManagement #HurricaneFlorence2018
6193,"@danigauth was kind enough to bring homemade dinner and dog toys to an elderly couple @LQ who are displaced from #HurricaneFlorence2018, and that is just special."
6194,"RT @rtehrani: People in the Carolinas are about to rediscover the difference between the storm damage and what is covered by #insurance.

While wind damage is well covered by insurers, flood damage is absent from most policies. https://t.co/l57Fdffu9a

#HurricaneFlorence #HurricaneFlorence2018 https://t.co/Xw3ulX7XSj"
6195,RT @_andrewcarter: That feeling when the local you’re with drives you into a flooded ditch and you have to abort mission. #HurricaneFlorence2018 https://t.co/eeH3TZ0MAG
6196,"RT @allanimalrights: Hero volunteer rescues six dogs abandoned in a LOCKED cage on the verge of drowning in Hurricane Florence's rising flood waters

 https://t.co/aNSxwB85JJ

#HurricaneFlorence2018 #HurricanceFlorence #Dogs #Rescue"
6197,Carolina golf still happening despite Hurricane Florence. Rivers Edge Golf Fast Re-Open https://t.co/ttxAUSgiAg #RiversEdgeGolf #ShallotteNC #CarolinaGolf #EastCoastGolfManagement #HurricaneFlorence2018
6198,"RT @AmillerM10: Using a real situation to Connect the standards (adjectives, weather, needs and wants, and ELA). #HurricaneFlorence2018 @libertyesSTEM @Ckanderson_LCSS @jlee_les https://t.co/IDbfD3lIWC"
6199,RT @zdaniel: So while I’ve been covering #HurricaneFlorence2018 my brother Troy has clocked 220km winds at his house in Hong Kong #TyphoonManghkut #family #storms #ohbrother https://t.co/OidFB9piGf
6200,Looking for ways to help with the Hurricane Florence disaster? Read our blog about needed donations and local places to drop them off. Please share this in order to spread the word! #HurricaneFlorence2018 #donate https://t.co/mZqyZy30Hz https://t.co/Wx6aeDEPlZ
6201,"Hero volunteer rescues six dogs abandoned in a LOCKED cage on the verge of drowning in Hurricane Florence's rising flood waters

 https://t.co/aNSxwB85JJ

#HurricaneFlorence2018 #HurricanceFlorence #Dogs #Rescue"
6202,"RT @newsobserver: ICYMI @WCPSS is open on a regular schedule. Plus, a look at makeup days

https://t.co/OpmJGB85GA

#Florence #HurricaneFlorence2018"
6203,"#BREAKING @vbschools #Virginiabeach Public schools will virtual learning days to make up for #HurricaneFlorence2018 on October 8, November 6th and January 28th. @WAVY_News @WAVY_Weather"
6204,Photos Show the Impacts of Hurricane Florence - National Geographic #HurricaneFlorence2018  https://t.co/NfpRrNCDKI
6205,Breaking Good Golf News: Rivers Edge Golf Fast Re-Open https://t.co/WxMkUQoGeO #RiversEdgeGolf #ShallotteNC #CarolinaGolf #EastCoastGolfManagement #HurricaneFlorence2018
6206,RT @XConnollyJr: #HurricaneFlorence2018 1st group of #D149 Home Depot Relief Volunteers leaving Richmond this morning to help support recovery efforts in Wilmington. God Bless and Godspeed! #ServicebeforeSelf https://t.co/dvdOZH22u8
6207,"Weather guy brave #HurricaneFlorence2018 or does he?
#Funny1060AM #yyc
https://t.co/0eSFIycCVj https://t.co/BZZfJHWMyk"
6208,RT @dogandpuplovers: Heroes rescued #dogs owners left behind in NC during #HurricaneFlorence2018. https://t.co/qBlKmjlHat
6209,We're going to get between 1 and 1.5 inches of rain as the remnants for #HurricaneFlorence2018 https://t.co/UuXsM0vDty via @northjersey
6210,"The #Cats ears all pretty much healed She looks good and not as mean as she was. People rushing around stressed out from the #HurricaneFlorence2018, bump into each other, more stress. No matter what, #Ross is still the #Boss This works out. #GYM open #Ross taking a #Personal Day. https://t.co/VBCfFis9yh"
6211,#HurricaneFlorence2018 thoughts and prayers for those effected by Hurricane Florence.
6212,"RT @Michelle_Bir: Cape Fear River, 5:30 pm, Monday, September 17th #CapeFearRiver #HurricanceFlorence #flooding #Fayetteville #hurricaneaftermath #HurricaneFlorence2018 https://t.co/2vm0MBEAoP"
6213,#florance has moved out Thank You 🙏 Jesus we are blessed no damage. Praying for the ones who were not so fortunate #HURRICANEFLORANCE #HurricaneFlorence2018
6214,RT @wsbtv: A big thank you to the 2 @Atlanta_Police officers who dropped off cases of water for the #ConvoyOfCare #HurricaneFlorence2018 https://t.co/XPcmh5bcdv
6215,"Never witnessed so much solidarity in one day. Met so many generous families, contributing supplies at the shelters. 🙏 #HurricaneFlorence2018"
6216,"A monumental disaster' in the Carolinas. And the worst flooding is yet to come. #HurricaneFlorence2018
https://t.co/vi5FqU4cy5"
6217,"RT @newsobserver: ICYMI @WCPSS is open on a regular schedule. Plus, a look at makeup days

https://t.co/OpmJGB85GA

#Florence #HurricaneFlorence2018"
6218,"RT @almuariza: ¿Primer mundo? Falta total de previsión. Cuarto día sin gasolina ni dónde comprar alimentos. 
La gente está desesperada. Hacemos cola desde hace horas pero nadie nos garantiza que podamos llenar el depósito hoy. 
#HurricaneFlorence2018 
#Jacksonville https://t.co/37Pg2XyVHZ"
6219,"Cape Fear River, 5:30 pm, Monday, September 17th #CapeFearRiver #HurricanceFlorence #flooding #Fayetteville #hurricaneaftermath #HurricaneFlorence2018 https://t.co/2vm0MBEAoP"
6220,RT @wsbtv: A big thank you to the 2 @Atlanta_Police officers who dropped off cases of water for the #ConvoyOfCare #HurricaneFlorence2018 https://t.co/XPcmh5bcdv
6221,RT @JLHarrell1981: These boots ain’t made for walking but they certainly have some miles on them. Digging out after Flo. #hurricaneflorence2018 https://t.co/l2OS1gNf88
6222,"RT @_andrewcarter: Meet Robert Simmons. Was stuck in his house since last night, when floodwaters began to rise in New Bern. A boat came and rescued him just now. He was sad to leave his father but left with his kitten hugging his neck. Cat’s name: Survivor, Simmons said. #HurricaneFlorence2018 https://t.co/vRR3lANDJe"
6223,"RT @JohnStossel: #HurricaneFlorence2018 was NOT caused by ""manmade climate change"" https://t.co/Yf3jQPZVPw"
6224,"RT @nasw: The @RedCross is looking for volunteers, including social workers, in South Carolina to help people affected by #HurricaneFlorence2018. For more info: https://t.co/nygIMp0ZtH @NASWSC"
